country,continent,development,population,roads,size,osmdistancekm,osmdistancemiles,coverage
Afghanistan,Asia,1,33332025,42150,652230,40877,25400,96.98%
Albania,Europe,1,3038594,18000,28748,21910,13614,121.72%
Algeria,Africa,1,40263711,113655,2381741,158442,98451,139.41%
American Samoa,Oceania,1,54194,241,199,333,207,138.23%
Andorra,Europe,1,85660,320,468,465,289,145.34%
Angola,Africa,1,20172332,51429,1246700,64079,39817,124.60%
Anguilla,North-America,1,16752,175,91,267,166,152.66%
Antigua and Barbuda,North-America,1,93581,1170,443,1217,756,103.99%
Argentina,South-America,1,43886748,231374,2780400,595469,370007,257.36%
Armenia,Asia,1,3051250,7792,29743,20612,12808,264.53%
Australia,Oceania,1,22992654,823217,7741220,784084,487207,95.25%
Austria,Europe,1,8711770,133597,83871,158401,98426,118.57%
Azerbaijan,Asia,1,9872765,52942,86600,45627,28351,86.18%
"Bahamas, The",North-America,1,327316,2700,13880,5436,3378,201.35%
Bahrain,Asia,1,1378904,4122,760,3658,2273,88.74%
Bangladesh,Asia,1,156186882,21269,143998,33494,20812,157.48%
Barbados,North-America,1,291495,1600,430,2102,1306,131.36%
Belarus,Europe,1,9570376,86392,207600,162280,100836,187.84%
Belgium,Europe,1,11409077,154012,30528,111684,69397,72.52%
Belize,North-America,1,353858,2870,22966,5765,3582,200.86%
Benin,Africa,1,10741458,16000,112622,24308,15104,151.92%
Bermuda,North-America,1,70537,447,54,510,317,114.13%
Bhutan,Asia,1,750125,10578,38394,3814,2370,36.06%
Bolivia,South-America,1,10969649,80488,1098581,142300,88421,176.80%
Bosnia and Herzegovina,Europe,1,3861912,22926,51197,38986,24225,170.05%
Botswana,Africa,1,2209208,17916,581730,38067,23654,212.48%
Brazil,South-America,1,205823665,1580964,8514877,1201554,746611,76.00%
British Virgin Islands,North-America,1,34232,200,151,352,219,176.22%
Brunei,Asia,1,436620,3029,5765,2173,1350,71.73%
Bulgaria,Europe,1,7144653,19512,110879,79999,49709,410.00%
Burkina Faso,Africa,1,19512533,15272,274200,38254,23770,250.49%
Burma,Asia,1,56890418,34377,676578,69939,43458,203.45%
Burundi,Africa,1,11099298,12322,27830,17930,11141,145.51%
Cabo Verde,Africa,1,553432,1350,4033,2754,1711,203.97%
Cambodia,Asia,1,15957223,44709,181035,35501,22059,79.40%
Cameroon,Africa,1,24360803,51350,475440,77828,48360,151.56%
Canada,North-America,1,35362905,1042300,9984670,1124444,698697,107.88%
Cayman Islands,North-America,1,57268,785,264,880,547,112.14%
Central African Republic,Africa,1,5507257,20278,622984,24145,15003,119.07%
Chad,Africa,1,11852462,40000,1284000,28854,17929,72.13%
Chile,South-America,1,17650114,77764,756102,148187,92079,190.56%
China,Asia,1,1373541278,4106387,9596960,1504898,935100,36.65%
Colombia,South-America,1,47220856,204855,1138910,124645,77451,60.85%
Comoros,Africa,1,794678,880,2235,1291,802,146.67%
